,establishment,establishment_code
7443,majestic press inc.,3608
7445,tesoro's marketing corporation,6129
7446,massimo dutti (ssi - zara group),3706
7447,ssi - zara group,5735
7458,netsuite ,4187
7462,sycip gorres velayo & co. ,5943
7464,presidential communications operations office ,4827
7465,manila city hall ,3633
7467,paco catholic school,4444
7468,philippine charity sweepstakes office,4630
7469,securities and exchange commission philippines,5366
7472,behavioral science society,842
7491,heima home and lifestyle,2690
7492,asialink group of companies,573
7493,philippine heart center,4654
7496,aboitiz group ,95
7499,clinic of the holy spirit inc.,1261
7502,integreon managed solutions,3059
7503,ayala,710
7507,l'oréal,3395
7511,epldt ventus,2058
7515,achieve without borders,182
7517,uplb society of chemical engineering students,6542
7525,pelt information systems inc,4521
7536,ever group of stores ,2133
7538,mrm ,3983
7539,mccann worldgroup ,3741
7540,santugon sa tawag ng panahon,5298
7543,iqvia ,3134
7546,"sports central (manila), inc. - sm retail affiliate ",5724
7548,colegio de san juan de letran (manila) ,1328
7549,"estrellas home care clinic & hospital, inc. ",2102
7550,sss (social security system) ,5737
7556,makati development corporation ,3611
7561,cma geoconstruct corporation,1276
7562,"thermal solutions, inc.",6208
7563,rapide auto service centre,5005
7568,"stateland, inc.",5794
7574,altisource ,383
7577,bank of america merrill lynch via alexander mann solutions,761
7578,"bestminds executive search and training, inc.",869
7579,q2 executive search - a division of q2 hr solutions,4945
7580,world pacific contact center solutions,6823
7584,shell business operation-manila ,5442
7585,shell business operation-manila,5441
7592,boldr | outsourcing with impact,918
7599,"center for educational measurement, inc. ",1109
7600,plainview custodial home ,4756
7604,kimberly-clark,3347
7606,"del monte fresh produce n.a., inc",1589
7607,philip morris international,4607
7613,"beauchem industries international, inc.",835
7618,teletech customer care holdings inc.,6089
7626,capgemini ,1034
7629,ericsson telecommunications inc.,2079
7631,pateros catholic school,4491
7636,media convergence inc.,3760
7637,amzen industries inc.,441
7641,pr gaz holdings inc.,4821
7643,"systemantech, inc.",5988
7644,spi global ii,5714
7658,synnex-concentrix,5977
7669,shell business service center ,5448
7674,texas instruments ,6133
7680,homeroom ,2767
7681,cinco corporation,1201
7691,asia united bank,567
7693,river of god,5118
7703,"enfra usa solutions, inc",2035
7705,philippine centre for psychological assessment,4628
7709,homebased ,2765
7710,homebased business ,2766
7711,allegis global solutions ,343
7712,roy law office ,5184
7714,northern trust corporation ,4256
7715,deloitte ,1609
7717,filinvest hospitality corporation,2238
7719,reyes tacandong & co.,5100
7728,mapfre insular insurance corp. ,3676
7733,cai-sta philippines inc. ,1002
7734,makati hope christian school ,3613
7737,centro escolar university ,1116
7746,sun life,5886
7764,comedy manila,1348
7767,cbk power company ltd. ,1081
7768,cbk powek company ltd ,1080
7782,ullink,6418
7793,paidup,4453
7796,oro oxygen corporation ,4410
7798,philippine securities and exchange commission ,4681
7802,victorias milling co inc (vmc),6625
7807,londa online technologies ,3528
7808,senate of the philippines ,5386
7810,crate and barrel,1454
7814,san miguel pure foods ,5273
7820,philippine associated smelting and refining corporation ,4615
7825,reyser fire extinguisher trading ,5101
7827,exelis,2144
7828,fujairah international airport cat 9 & 10,2371
7829,bonifacio security services inc.,921
7830,up pgh ems department,6535
7837,"genfinity philippines, inc. ",2462
7839,st. mary's academy of sta. ana,5750
7840,jardines,3204
7843,"yaparazzi productions, inc.",6865
7846,"a+b expedio integrated marketing communications, inc.",62
7847,habitat for humanity philippines,2639
7852,welltech service corporation ,6720
7854,jacinto & lirio ,3195
7855,century peak metals holdings corp (cpm) ,1121
7859,"process technologies, inc.",4860
7880,lingaro,3500
7883,aiesec in the philippines,291
7884,aiesec,288
7890,lewis glanz consulting ,3468
7891,lewis personnel japan ,3469
7902,emerson electric asia ltd. – rohq,1986
7911,"shell gas (lpg) philippines, inc.",5457
7913,marsh mclennan ,3702
7914,up industrial engineering club (up ie club) ,6529
7916,clean makers construction and services,1249
7917,ece pharmaceuticals,1888
7918,lakeside pharmaceuticals,3416
7925,asia brewery incorporated ,556
7933,intellectual property office of the philippines ,3077
7934,apogee trans corp. ,478
7935,stegra trading ,5805
7937,"jgc philippines, inc. ",3222
7941,lean processes inc,3451
7944,"ksearch asia consulting, inc. ",3385
7948,ntt ltd.,4286
7949,world networking services inc dba wonese,6822
7950,knoll ridges consultancy inc.,3358
7951,clinic of the holy spirit,1260
7953,shell shared services manila,5477
7958,"bdo alba romeo & co., cpas",812
7969,pueblo de oro development corp.,4920
7973,propelrr,4879
7991,"toyota santa rosa, laguna, inc.",6298
7992,eastwest banking corporation,1880
7993,alveo land corp. (an ayala land company),385
7995,tenet healthcare,6113
8000,top rank review center ,6254
8007,brunel technical services manpower corp.,960
8008,"maibarara geothermal, inc.",3606
8009,"maptan construction and equipment rentals, inc.",3677
8010,dun and bradstreet philippines inc.,1824
8011,devex incorporated,1677
8012,city government of batangas-internal control unit,1236
8013,department of labor and employment-batangas field office,1644
8015,"sterling bank of asia, inc.",5815
8018,elite artsfx advertising,1931
8019,abes mariano & malong law offices,88
8020,the law firm of j.a.p abes,6172
8024,"ucpb general insurance co., inc.",6413
8027,"shell shared services manila, philippines",5478
8035,amc & associates,406
8037,"bpo international, inc.",940
8044,jp morgan chase & co ,3268
8046,shell shared services centre,5476
8047,"airfreight 2100, inc",310
8048,manuela corporation,3666
8058,"kyttas personnel providers, inc.",3391
8062,"national book store, inc. ",4045
8067,pana ,4462
8068,"heartsmart® (cardiax health technologies, inc.) ",2689
8072,pog2c lab & training centre,4788
8073,saffron philippines inc.,5221
8074,blaine corporation,896
8076,captivate io ltd,1042
8084,"fluor daniel inc., philippines",2299
8085,team solar philippines,6045
8087,manila electric company,3637
8098,"mcdermott international, ltd ",3743
8100,omnibus bio-medical systems inc.,4340
8101,full house custodial care center,2400
8105,sumisho motor finance corp.,5874
8106,honda cars cavite,2772
8107,crownsys consulting inc.,1475
8110,nityo infotech ,4237
8111,icrescere services corporation,2902
8112,cypress semiconductor corporation,1505
8116,51talk ,45
8117,phenix garuda construction and development corporation,4585
8118,romero & gorospe servanez accounting firm ,5173
8119,commission on audit - romblon state university ,1356
8122,toyota bicutan parañaque ,6284
8123,enchanted kingdom ,2025
8126,"fritz and macziol asia, inc,",2366
8127,re&s enterprises pte ltd,5031
8132,"hsbc electronic data processing philippines, inc.",2808
8134,de la salle santiago zobel school,1570
8135,assumption college san lorenzo,613
8139,lseg – (london stock exchange group) ,3538
8140,"grace christian college, inc. ",2593
8141,mathematics trainers guild (mtg) philippines ,3713
8146,sanofi,5291
8150,shell shared service center manila,5466
8155,sonar charters,5675
8160,cgi ,1132
8162,"estima, inc. ",2101
8163,manila community radio ,3634
8164,assessment curriculum and technology research centre (actrc) ,610
8165,lockdown cinema club ,3522
8168,ateneo musicians' pool,646
8169,fado ,2187
8170,humble sustainability ,2823
8172,ateneo psyche ,648
8173,ateneo junior marketing association ,643
8174,the ateneo assembly ,6141
8176,shell shared services (asia) b.v.,5471
8178,"seven seven global services, inc.",5407
8179,truelogic online solutions,6369
8182,eastwood richmonde hotel,1882
8183,routes,5181
8186,the orchard golf & country club ,6183
8187,bpi/ms insurance corporation,939
8188,shell business operations - manila,5445
8189,"philippine leading infinite logistics, inc.",4661
8190,cityland development corporation,1242
8195,manila southern associates inc.,3647
8204,dell international services philippines inc.,1604
8205,apac customer services inc.,473
8206,peoplesupport phils. inc.,4546
8211,arellano university – jose abad santos campus ,517
8212,sykes asia. inc,5961
8214,manila water,3650
8216,lmi express delivery,3518
8218,"adchemy philippines, inc.",215
8219,yellowasp corporation,6872
8220,shell philippines exploration b.v.,5464
8222,shell philippines exploration bv ,5465
8224,shell business service center manila,5449
8225,trg customer solutions,6338
8228,valens research asia ,6579
8232,securities and exchange commission- commission on audit ,5367
8238,markprof foundation,3699
8241,"ministry of education, singapore (moe)",3901
8242,data storage institute,1539
8245,vestas shared services,6616
8248,santa fe - philippines ,5293
8249,qbe insurance ,4952
8250,emirates global aluminium (ega) ,2015
8254,diversify offshore staffing solutions,1758
8256,diversify offshore staffing solutions ,1759
8257,tdcx ,6039
8275,guide to the philippines ,2626
8276,madeats ,3574
8277,jelli tech international,3211
8291,hammerjack ,2644
8293,siklo ,5511
8294,global pacific knowledge consultancy inc. ,2510
8296,altermidya - people's alternative media network ,380
8299,toyota bicutan parañaque,6283
8301,redbin communications and brand solutions inc. ,5050
8306,agribusiness rural bank ,275
8310,freelance web developer,2350
8311,asian development bank (adb),581
8312,"philam asset management, inc.",4594
8316,lixil ,3513
8317,grab ,2591
8324,ericsson,2076
8335,silverback events management ,5514
8348,asia pacific college,560
8351,cdcc accounting firm ,1088
8352,farcon magpantay and associates cpas ,2193
8353,farcon magpantay associates and cpas ,2194
8354,spi crm ,5709
8355,asianlife & general assurance corporation ,596
8356,shell shared services (asia) b.v. ,5472
8361,holcim philippines inc.,2754
8365,pricewaterhousecoopers - service delivery center (pwc sdc),4831
8366,mary chiles hospital medical ,3703
8381,natu handcraft studio,4070
8383,"polymer research laboratory, department of chemical engineering, up diliman",4800
8386,first gen corporation,2260
8388,"up academic league of chemical engineering students, inc.",6518
8397,asian development bank,579
8406,metrobank card corporation ,3849
8425,storm carts inc.,5836
8429,"ksearch asia consulting, inc.",3384
8433,"polymer research laboratory, department of chemical engineering",4799
8438,united coconut planters bank (ucpb) ,6453
8440,indra ,2954
8443,wegen energy philippines ,6716
8445,compassion international,1368
8451,araullo university- phinma education network,502
8457,procter & gamble ,4862
8459,teach-up ,6042
8463,san miguel yamamura packaging corporation,5277
8467,ams,437
8471,shell business service center manila ,5450
8472,bpi family savings bank ,932
8473,"cd & associates, cpa ",1085
8475,asian hospital and medical center ,586
8477,ptt philippines corporation,4914
8480,metals industry research and development center,3829
8491,"fujitsu engineering technologies philippines, inc. ",2380
8493,"unioil petroleum philippines, incorporated",6443
8496,pilipinas shell ,4735
8509,gs e&c,2622
8518,shakey's,5422
8519,dermpharma inc.,1654
8521,asian college,577
8523,talmore+ | the talent company ,6022
8524,"philippine airport ground support solutions, inc (pagss) ",4612
8526,adventist university of the philippines ,246
8528,"aspen business solutions, inc. ",608
8529,cnt promo & ads specialist inc. ,1278
8532,ust commerce and business administration student council ,6561
8533,"versatest solutions and services, inc. ",6603
8534,rotaract club of university of santo tomas central ,5179
8535,ust research center for social sciences and education (ust-rcssed) ,6567
8538,stark asia solutions inc. ,5789
8540,clemente l santiago trucking services ,1253
8541,staff search asia service cooperative ,5768
8543,neodrifters ,4094
8548,herma shipping corp.,2698
8549,webb fontaine,6709
8558,"cprm consultants, inc.",1451
8560,"timex philippines, inc.",6232
8564,"century pacific food, inc.",1118
8569,nextdaybetter ,4206
8572,tripleshot media ,6355
8573,"tripleshot media, inc.",6356
8574,eon the stakeholder relations group,2047
8576,shell / nes global ,5440
8577,free lancer ,2344
8578,inp deutschland gmbh / ansaldo energia muscat l.l.c ,3025
8579,worleyparsons ,6829
8580,rawec - rabigh arabian water & electricity company,5013
8581,emal,1934
8582,acwa power international,211
8583,parsons brinckerhoff,4485
8584,doosan heavy industry & construction co.,1800
8585,danway electrical & mechanical engineering,1533
