,role_or_degree,role_code
7084,global talent and diversity & inclusion excellence advisor - center of excellence,4026
7085,senior hr advice - downstream and global functions,9522
7086,hr advice - downstream and projects & technology,4402
7087,"hr advisor - tier 1 for hr systems, country and expat services",4423
7088,jr. human resources specialist/ technical recruiter,5724
7089,human resources verification interviewer,5037
7093,project associate - accounts payable,7897
7094,company secretary,1984
7096,senior billing analyst,9329
7102,data quality assurance specialist,2792
7103,software engineer 1,10414
7105,senior hr advisor - us operations,9530
7106,hr advisor - us operations,4424
7107,hr project advisor - ph operations,4688
7108,employee relations admin specialist,3247
7109,human resource executive,4891
7112,"senior hr advisor, us operations",9532
7113,"hr advisor, us operations",4450
7114,"hr project advisor, hire and onboard americas",4692
7115,mandarin bilingual resource,6409
7118,human resources,4913
7119,customer success specialist - international aviation,2663
7120,assistant team leader for corporate relations,750
7122,assistant vice president for academics,787
7123,junior officer for academics,5841
7124,senior specialist - credit underwriting,9962
7125,specialist - credit underwriting,10569
7126,analyst - credit underwriting,376
7127,financial audit associate (external auditor),3640
7128,finance accounting intern,3578
7129,hr operations lead (philippines)_,4645
7130,global hr services lead (project/contract),3956
7131,global hr services manager,3957
7132,global hr shared services manager (project/contract),3959
7134,global hr services team leader,3958
7135,hr shared services team leader,4754
7139,senior human resources associate,9550
7140,human resources senior associate for ey philippines global delivery services (an sgv engagement),5010
7141,human resources associate for xerox business services (an sgv process improvement engagement),4954
7143,human resources clerk,4958
7144,regional automation & digital channels lead - americas,8515
7145,robotics process automation lead,8819
7146,customer operations support - lead,2555
7147,workforce lead,12326
7150,project analyst,7893
7151,customer experience management intern,2506
7152,senior devops engineer - recruitment and talent,9451
7153,hr devops analyst recruitment,4570
7154,workday configurations analyst,12314
7155,talent systems advisor,11273
7156,system consultant,11100
7157,unit specialist,12011
7158,relief team leader,8627
7159,customer operations specialist - retail and general public,2548
7161,senior electrical engineer,9463
7162,senior operations engineer,9727
7163,operations engineer,6994
7164,senior science research specialist,9900
7165,science research specialist ii,9140
7166,customer operations team lead,2557
7172,talent shared services - associate (us),11261
7173,business owner,1431
7174,hr recruitment,4702
7175,hr administrative assistant (generalist),4396
7180,process data engineer - upstream,7531
7181,process data engineer - downstream,7529
7182,master data engineering analyst - downstream,6550
7183,senior manufacturing line engineer,9695
7186,hr operations executive,4641
7188,contracting & procurement analyst,2148
7189,control analyst - accounts payable,2176
7191,accounts receivable staff,246
7192,internal audit staff,5354
7195,senior functional consultant,9509
7196,internal audit supervisor,5355
7202,accounts receivable,233
7204,account specialist,122
7205,customer operations specialist-international marine operations,2554
7206,senior operations representative,9737
7208,inbound sales representative,5090
7209,technical specialist - process engineer ,11548
7211,cp commercial lead it,2342
7212,contract and procurement specialist,2140
7213,ssu analyst,10806
7214,supply chain specialist,11040
7215,puchasing staff,8110
7217,purchasing clerk (under agency),8126
7218,clerk ( as on the job trainee),1781
7223,process safety engineer,7578
7224,process safety engr,7579
7225,loss prevention engr,6201
7232,hr advisor philippines,4438
7233,global expatriate transactions advisor,3940
7235,hr specialist- learning and development,4782
7236,hr specialist- talent acquisition,4784
7241,student assistantship and resource training program (start),10886
7244,customer care professional,2472
7245,senior processing executive,9784
7246,client success specialist,1808
7251,operations support analyst 1,7062
7253,employee services associate,3255
7254,mandarin accounts payable associate,6408
7255,software quality assurance analyst,10456
7256,mandarin it service desk,6410
7257,on-the-job-trainee,6929
7261,aircraft material planner/buyer,351
7264,"resourcing delivery commercial, sea/eu",8741
7265,supervisor - odhr talent acquisition,10939
7267,senior internal recruiter,9578
7269,learning and development,6067
7271,project phonescreener,8040
7272,learning program coordinator -,6088
7276,learning and development intern,6070
7277,director for txp in talent management,3054
7278,operations manager - indirect tax,7018
7279,senior team manager - it / systems ,10068
7280,tax reporting manager - us indirect tax,11293
7281,project lead – us fuels gsap implementation,7961
7282,team manager - tax master data and indirect tax systems,11424
7283,tax manager,11292
7288,controls assurance analyst,2185
7289,risk advisory associate,8798
7291,senior team manager - us fuels tax reporting and compliance,10070
7292,senior specialist - tax it/systems,9966
7293,senior tax specialist - us fuels tax reporting and compliance,10044
7294,tax specialist - us fuels tax reporting and compliance,11296
7295,tax analyst - severance tax reporting and compliance,11280
7296,inventory analyst (hydrocarbon management),5409
7297,fixed assets analyst (general accounting),3713
7299,sourcer - asia pacific ,10504
7300,recruitment advisor/ single focal point ,8381
7302,card operations analyst,1575
7303,card marketing intern ,1574
7309,hydrocarbon management specialist,5042
7310,gsap subject matter expert,4103
7311,manage hydrocarbon inventory analyst,6243
7314,graduate development coordinator,4058
7315,hr advisor - learning administration,4419
7316,training coordinator,11867
7320,procurement specialist / project buyer,7657
7321,"buyer, cp advisor",1517
7322,"buyer, cp analyst",1518
7323,owner/co-owner,7167
7327,hr process analyst talent,4673
7328,learning network lead,6083
7330,benefits and processes intern,1165
7331,innovation lead,5227
7332,"operations manager, accounts payable",7025
7333,"operations manager (bg migration), accounts payable",7014
7334,"team manager, accounts payable",11428
7335,various,12066
7336,"team leader, customer service",11397
7339,process data engineer - fe - engg admin,7530
7342,helpdesk analyst,4327
7344,accounts payable senior associate,216
7349,hr advisor ,4407
7351,training and development intern,11853
7352,hr talent operations team lead,4807
7353,talent operations advisor for upstream and integrated gas,11258
7354,hr data analyst (international assignment),4563
7355,talent services advisor,11260
7359,technical services specialist,11533
7361,formulator,3752
7362,research & development officer,8667
7363,plm,7377
7365,quality control inspector ii,8236
7366, incoming material inspector,6
7372,lead facilities engineer(ph/hk),5984
7376,customer success specialist - international marine,2664
7377,crewing,2419
7378,documentation specialist,3128
7379,dispatch coordinator,3100
7380,crew quality assistant,2418
7381,customer operations specialist international marine,2551
7382,supply chain liaison officer for international marine,11017
7383,supply chain liaison officer for us lubes ,11018
7384,joint venture accounting analyst,5693
7386,customer associate - salary loan bookkeeper,2458
7387,customer associate - executive assistant,2457
7388,customer assistant,2456
